,x_min,x_max,y_min,y_max,trap_num,trap_id
0,120.09,120.091,22.905,22.9059009,0,[]
1,120.09,120.091,22.9059009,22.9068018,0,[]
2,120.09,120.091,22.9068018,22.9077027,0,[]
3,120.09,120.091,22.9077027,22.9086036,0,[]
4,120.09,120.091,22.9086036,22.9095045,0,[]
5,120.09,120.091,22.9095045,22.9104054,0,[]
6,120.09,120.091,22.9104054,22.9113063,0,[]
7,120.09,120.091,22.9113063,22.9122072,0,[]
8,120.09,120.091,22.9122072,22.9131081,0,[]
9,120.09,120.091,22.9131081,22.914009,0,[]
10,120.09,120.091,22.914009,22.9149099,0,[]
11,120.09,120.091,22.9149099,22.9158108,0,[]
12,120.09,120.091,22.9158108,22.9167117,0,[]
13,120.09,120.091,22.9167117,22.9176126,0,[]
14,120.09,120.091,22.9176126,22.9185135,0,[]
15,120.09,120.091,22.9185135,22.9194144,0,[]
16,120.09,120.091,22.9194144,22.9203153,0,[]
17,120.09,120.091,22.9203153,22.9212162,0,[]
18,120.09,120.091,22.9212162,22.9221171,0,[]
19,120.09,120.091,22.9221171,22.923018,0,[]
20,120.09,120.091,22.923018,22.9239189,0,[]
21,120.09,120.091,22.9239189,22.9248198,0,[]
22,120.09,120.091,22.9248198,22.9257207,0,[]
23,120.09,120.091,22.9257207,22.9266216,0,[]
24,120.09,120.091,22.9266216,22.9275225,0,[]
25,120.09,120.091,22.9275225,22.9284234,0,[]
26,120.09,120.091,22.9284234,22.9293243,0,[]
27,120.09,120.091,22.9293243,22.9302252,0,[]
28,120.09,120.091,22.9302252,22.9311261,0,[]
29,120.09,120.091,22.9311261,22.932027,0,[]
30,120.09,120.091,22.932027,22.9329279,0,[]
31,120.09,120.091,22.9329279,22.9338288,0,[]
32,120.09,120.091,22.9338288,22.9347297,0,[]
33,120.09,120.091,22.9347297,22.9356306,0,[]
34,120.09,120.091,22.9356306,22.9365315,0,[]
35,120.09,120.091,22.9365315,22.9374324,0,[]
36,120.09,120.091,22.9374324,22.9383333,0,[]
37,120.09,120.091,22.9383333,22.9392342,0,[]
38,120.09,120.091,22.9392342,22.9401351,0,[]
39,120.09,120.091,22.9401351,22.941036,0,[]
40,120.09,120.091,22.941036,22.9419369,0,[]
41,120.09,120.091,22.9419369,22.9428378,0,[]
42,120.09,120.091,22.9428378,22.9437387,0,[]
43,120.09,120.091,22.9437387,22.9446396,0,[]
44,120.09,120.091,22.9446396,22.9455405,0,[]
45,120.09,120.091,22.9455405,22.9464414,0,[]
46,120.09,120.091,22.9464414,22.9473423,0,[]
47,120.09,120.091,22.9473423,22.9482432,0,[]
48,120.09,120.091,22.9482432,22.9491441,0,[]
49,120.09,120.091,22.9491441,22.950045,0,[]
